,name,review_count,rating,address,city,zip_code,latitude,longitude
0,Analog Coffee,151,4.0,740 17th Avenue SW,Calgary,T2S 0B7,51.0379649,-114.0787066
1,Milano Coffee Calgary,2,5.0,602 11 Avenue SW,Calgary,T2R 1J8,51.04291536130112,-114.07482375277863
2,Philosafy Coffee,52,4.5,632 17 Avenue SW,Calgary,T2S 0B4,51.037963717351154,-114.076274223626
3,Phil & Sebastian Coffee Roasters,25,4.0,102 8 Avenue SW,Calgary,T2P 1B3,51.0456789217233,-114.063507888361
4,il Caffe,2,5.0,207 9 Avenue SW,Calgary,T2P 1K3,51.04452091557103,-114.0665210410957
5,Rosso Coffee Roasters,8,4.0,103 17 Avenue SE,Calgary,T2G 1H3,51.03761,-114.06316
6,Ten Foot Henry,23,4.5,1209 1 Street SW,Calgary,T2R 0V3,51.0409690150547,-114.066046628833
7,Deville Coffee,45,4.0,807 1st Street SW,Calgary,T2P 7N2,51.0453235188332,-114.065761386166
8,Patisserie du Soleil,5,4.0,205 - 500 Centre Street S,Calgary,T2P 2S5,51.047911544032424,-114.06258170667648
9,Cafe Alchemist,5,5.0,850-2 Street Southwest,Calgary,T2P 0R8,51.0450080337897,-114.067753
10,Analog Coffee,11,4.5,205 5 Avenue SW,Calgary,T2P 2V7,51.04825,-114.06595
11,Phil & Sebastian Coffee Roasters,24,4.0,2207 4 Street SW,Calgary,T2S 1W9,51.032989493589255,-114.07171078026272
12,Tokyo Smoke,3,4.5,1205 1st Street SW,Calgary,T2R 0V3,51.041245,-114.066163
13,Wise and Wright,43,4.0,317 7th Avenue SW,Calgary,T2P 2Y9,51.045897,-114.069682
14,The Beltliner,161,3.5,243 12th Avenue SW,Calgary,T2R 1H6,51.0414563386494,-114.067903467574
15,Element Cafe,1,5.0,331 17th Avenue SW,Calgary,T2S 0A5,51.0376951,-114.0701916
16,Secret Cafe,1,4.0,322 11 Avenue SW,Calgary,T2R 0C5,51.0428768859945,-114.069050413594
17,I Love You Coffee Shop,1,2.0,348b 14 Avenue SW,Calgary,T2R 0M3,51.0399255984965,-114.071342982352
18,Café du Centre,6,3.5,509 22 Avenue SW,Calgary,T2S 0H5,51.0332514,-114.0721435
19,Starbucks,4,3.0,156 13th Avenue SW,Calgary,T2R 1N8,51.040638,-114.0647125
20,Blenz Coffee,4,4.0,702 7 Avenue SW,Calgary,T2P 0Z1,51.0469863,-114.0764875
21,Good Earth Cafe,8,3.5,1213 4th Street SW,Calgary,T2R 1M1,51.040917594479,-114.071828737879
22,Cafe Eve,2,5.0,,Calgary,T2P 1C2,51.04581,-114.06819
23,Caffe Trieste,11,4.0,The CORE Shopping Centre,Calgary,T2P 2Z2,51.0460872176698,-114.071519829091
24,Redheads Japa Cafe,63,4.0,638 11th Avenue SW,Calgary,T2R 0E2,51.0430389585525,-114.075934904401
25,Deville Coffee,2,5.0,225 6 Avenue SW,Calgary,T2P 2X6,51.04725,-114.06673
26,Caffe  Artigiano,47,4.0,332 6th Avenue SW,Calgary,T2P 0B2,51.04781,-114.06998
27,Urban Bean Coffee,2,4.0,220- 635 8th Avenue SW,Calgary,T2P 3M3,51.0455949,-114.0758593
28,Deville Coffee,8,3.0,600 6th Avenue SW,Calgary,T2P 0S4,51.0476413183488,-114.074830946532
29,Second Cup,7,3.5,500 17 Avenue SW,Calgary,T2S 0B1,51.037955439733,-114.0716987
30,A1 Bodega and Café,2,4.5,1213–1st Street SW,Calgary,T2R 0V3,51.040941,-114.066177
31,La Boulangerie,59,4.0,2435 4 Street SW,Calgary,T2S 1X5,51.030819229294856,-114.071752784842
32,Western Coffee Shop,14,4.0,7-2100 4 Street SW,Calgary,T2S 1W7,51.0340504284569,-114.071246911114
33,Oasis Juice and Nutrition Bar,19,4.5,112-1012 1 St SW,Calgary,T2R 1M2,51.04297931842948,-114.06539584722138
34,The Purple Perk,127,3.0,2212 4 Street SW,Calgary,T2S 1W9,51.03286,-114.07133
35,Cookies By George,8,4.5,Toronto Dominion Square,Calgary,T2P 2Y9,51.0459775790356,-114.069497666622
36,Starbucks,6,4.0,Calgary Marriott,Calgary,T2G 5A6,51.04477,-114.06258
37,Kahawa Cafe,1,4.0,Hanover Bldg,Calgary,T2P 3P4,51.04715,-114.06334
38,Starbucks,18,3.0,2219 4th Street SW,Calgary,T2S 1X1,51.0325892140708,-114.071759019809
39,Presotea,50,4.5,614 17 Avenue SW,Calgary,T2S 0B4,51.0379485380629,-114.075303934515
40,MobSquad Cafe,1,4.0,2100-150 9 Avenue SW,Calgary,T2P 3H9,51.04479,-114.06524
41,Deville Coffee,1,5.0,685 Centre St SW,Calgary,T2G 1S5,51.0466692,-114.0631883
42,Second Cup,2,4.5,255 5 Avenue SW,Calgary,T2P 3G6,51.04837,-114.06701
43,Klein Harris,55,4.5,110 8 Avenue SW,Calgary,T2P 0W5,51.04578,-114.06369
44,Yann Haute Patisserie,93,4.5,329 23rd Avenue SW,Calgary,T2S 0J3,51.03214,-114.07071
45,Holy Grill,2,4.0,205 5 Avenue SW,Calgary,T2P 2V7,51.0481218495043,-114.065624738468
46,Tim Hortons,7,3.0,222-205 5th Avenue SW,Calgary,T2P 2V7,51.048247,-114.06587
47,Red's On 4th,135,3.5,1415 4th St SW,Calgary,T2R 0Y2,51.0389506800977,-114.071751373966
48,Second Cup,4,4.5,607 8th Avenue SW,Calgary,T2P 0A7,51.04556,-114.07438
49,Tim Hortons,5,3.0,1015 4th Street SW,Calgary,T2R 1J4,51.0427892481403,-114.071746071033
